ServicePlanId, ServicePlanName
aa8fbe7b-695c-4c05-8d45-d1dddf6f7616, CPC_S_2C_4GB_256GB
64981bdb-a5a6-4a22-869f-a9455366d5bc, CPC_S_2C_4GB_64GB
057efbfe-a95d-4263-acb0-12b4a31fed8d, CPC_S_2C_8GB_128GB
50ef7026-6174-40ba-bff7-f0e4fcddbf65, CPC_S_2C_8GB_256GB
dd3801e2-4aa1-4b16-a44b-243e55497584, CPC_S_4C_16GB_128GB
2d1d344e-d10c-41bb-953b-b3a47521dca0, CPC_S_4C_16GB_256GB
48b82071-99a5-4214-b493-406a637bd68d, CPC_S_4C_16GB_512GB
e4dee41f-a5c5-457d-b7d3-c309986fdbb2, CPC_S_8C_32GB_128GB
1e2321a0-f81c-4d43-a0d5-9895125706b8, CPC_S_8C_32GB_256GB
fa0b4021-0f60-4d95-bf68-95036285282a, CPC_S_8C_32GB_512GB
9d2eed2c-b0c0-4a89-940c-bc303444a41b, CPC_SS_2
1265e154-5544-4197-bba1-03ef69c3b180, CPMC
2ba394e0-6f18-4b77-b45f-a5663bbab540, CRM_AUTO_ROUTING_ADDON
24435e4b-87d0-4d7d-8beb-63a9b1573022, CRM_AUTO_ROUTING_ENGINE_ADDON
0210d5c8-49d2-4dd1-a01b-a91c7c14e0bf, CRM_HYBRIDCONNECTOR
1d4e9cb1-708d-449c-9f71-943aa8ed1d6a, CRM_ONLINE_PORTAL
eac6b45b-aa89-429f-a37b-c8ce00e8367e, CRM_ONLINE_PORTAL_GCC
eeea837a-c885-4167-b3d5-ddde30cbd85f, CRMINSTANCE
483cc331-f4df-4a3b-b8ca-fe1a247569f6, CRMINSTANCE_GCC
bf36ca64-95c6-4918-9275-eb9f4ce2c04f, CRMPLAN2
3d53f6d9-d6e0-45c1-9575-6acd77692584, CRMPLAN2_GCC
f9646fb2-e3b2-4309-95de-dc4833737456, CRMSTANDARD
2b8c7c8c-9db5-44a5-a1dd-f4aa5b97b372, CRMSTANDARD_GCC
77866113-0f3e-4e6e-9666-b1e25c6f99b0, CRMSTORAGE
62edd427-6067-4274-93c4-29afdeb30707, CRMSTORAGE_GCC
a98b7619-66c7-4885-bdfc-1d9c8c3d279f, CRMTESTINSTANCE
6d99eb83-7b5f-4947-8e99-cc12f1adb399, CRMTESTINSTANCE_GCC
6db1f1db-2b46-403f-be40-e39395f08dbb, CUSTOMER_KEY
e6e35e2d-2e7f-4e71-bc6f-2f40ed062f5d, CUSTOMER_VOICE_ADDON
296820fe-dce5-40f4-a4f2-e14b8feef383, Customer_Voice_Base
46c5ea0a-2343-49d9-ae4f-1c268b232d53, Customer_Voice_Customer_Insights
dbe07046-af68-4861-a20d-1c8cbda9194f, CUSTOMER_VOICE_DYN365_VIRAL_TRIAL
3ec18638-bd4c-4d3b-8905-479ed636b83e, CustomerLockboxA_Enterprise
90467813-5b40-40d4-835c-abd48009b1d9, D365_AssetforSCM
1412cdc1-d593-4ad1-9050-40c30ad0b023, D365_CSI_EMBED_CE
5b1e5982-0e88-47bb-a95e-ae6085eda612, D365_CSI_EMBED_CSEnterprise
61a2665f-1873-488c-9199-c3d0bc213fdf, D365_CUSTOMER_SERVICE_ENT_ATTACH
a9dd2dca-10ae-4da2-aaf0-d3fe8a825110, D365_CUSTOMER_SERVICE_PRO_ATTACH
e8b616eb-1a6d-42b4-84c7-b63870791349, D365_DemandPlanning
55c9148b-d5f0-4101-b5a0-b2727cfc0916, D365_FIELD_SERVICE_ATTACH
9f0e1b4e-9b33-4300-b451-b2c662cd4ff7, D365_Finance
223e33cb-eee0-462d-b1bd-e9a5febf8e85, D365_Finance_Attach
fe986032-d840-4817-82d4-51fe4fbbe163, D365_GUIDES_VIRAL_TRIAL
3219525a-4064-45ec-9c35-a33ea6b39a49, D365_HR_Attach
90d8cb62-e98a-4639-8342-8c7d2c8215ba, D365_HR_ATTACH_OPS
8b21a5dc-5485-49ed-a2d4-0e772c830f6d, D365_HR_OPS
835b837b-63c1-410e-bf6b-bdef201ad129, D365_HR_SELF_SERVICE_OPS
83dd9619-c7d5-44da-9250-dc4ee79fff7e, D365_IOTFORSCM
a5f38206-2f48-4d83-9957-525f4e75e9c0, D365_IOTFORSCM_ADDITIONAL
69f07c66-bee4-4222-b051-195095efee5b, D365_ProjectOperations
fa7675bd-6717-40e7-8172-d0bbcbe1ab12, D365_ProjectOperationsAttach
18fa3aba-b085-4105-87d7-55617b8585e6, D365_ProjectOperationsCDS
e564d403-7eaf-4c91-b92f-bb0dc62026e1, D365_ProjectOperationsCDSAttach
3ae52229-572e-414f-937c-ff35a87d4f29, D365_SALES_ENT_ATTACH
065f3c64-0649-4ec7-9f47-ef5cf134c751, D365_SALES_PRO_ATTACH
73f205fc-6b15-47a5-967e-9e64fdf72d0a, D365_SALES_PRO_IW
db39a47e-1f4f-462b-bf5b-2ec471fb7b88, D365_SALES_PRO_IW_Trial
1224eae4-0d91-474a-8a52-27ec96a63fe7, D365_SCM
b21c777f-c2d5-486e-88f6-fc0a3e474271, D365_SCM_Attach
0363c8e5-c30d-4d7c-a621-7b6cab5e0482, D365_SCM_Premium
7df1d500-ca5c-4229-8cea-815bc88798c9, D365CDSforProjectOperations
46129a58-a698-46f0-aa5b-17f6586297d9, DATA_INVESTIGATIONS
d7c3df99-6f58-40b9-8940-cd3a51679d85, DATAVERSE_FOR_POWER_AUTOMATE_PER_PROCESS
59231cdf-b40d-4534-a93e-14d0cd31d27e, DATAVERSE_FOR_POWERAUTOMATE_DESKTOP
6f0e9100-ff66-41ce-96fc-3d8b7ad26887, DATAVERSE_POWERAPPS_PER_APP_NEW
d1142cfd-872e-4e77-b6ff-d98ec5a51f66, DDYN365_CDS_DYN_P2
99cd49a9-0e54-4e07-aea1-d8d9f5f704f5, Defender_for_Iot_Enterprise
8c7d2df8-86f0-4902-b2ed-a0458298f3b3, Deskless
7aae746a-3463-4737-b295-3c1a16c31438, DV_PowerPages_Authenticated_User
56e3d4ca-2e31-4c3f-8d57-89c1d363503b, DYN365_ ENTERPRISE _RELATIONSHIP_SALES
4ade5aa6-5959-4d2c-bf0a-f4c9e2cc00f2, DYN365_AI_SERVICE_INSIGHTS
ae6b27b3-fe31-4e77-ae06-ec5fabbc103a, DYN365_BUSCENTRAL_DB_CAPACITY
d397d6c6-9664-4502-b71c-66f39c400ca4, DYN365_BUSCENTRAL_ENVIRONMENT
17ca446c-d7a4-4d29-8dec-8e241592164b, DYN365_BUSCENTRAL_ESSENTIALS_ATTACH
8e9002c0-a1d8-4465-b952-817d2948e6e2, DYN365_BUSCENTRAL_PREMIUM
393a0c96-9ba1-4af0-8975-fa2f853a25ac, DYN365_BUSINESS_Marketing
2a9d72b3-1714-440f-babf-bf92bf9683d8, DYN365_CC
0ef2b4e3-0a2b-450d-8c5f-a52203c40f50, DYN365_CC_DIGITAL
57517633-b4ad-4db8-8c1a-65f443424490, DYN365_CC_VOICE
cf7034ed-348f-42eb-8bbd-dddeea43ee81, DYN365_CDS_CCI_BOTS
d8c638e2-9508-40e3-9877-feb87603837b, DYN365_CDS_DEV_VIRAL
2d925ad8-2479-4bd8-bb76-5b80f1d48935, DYN365_CDS_DYN_APPS
e95d7060-d4d9-400a-a2bd-a244bf0b609e, DYN365_CDS_FINANCE
684a2229-5c57-43ab-b69f-f86fe8997358, DYN365_CDS_FOR_PROJECT_GCC_P5
a6f677b3-62a6-4644-93e7-2a85d240845e, DYN365_CDS_FOR_PROJECT_P1
363430d1-e3f7-43bc-b07b-767b6bb95e4b, DYN365_CDS_FORMS_PRO
1315ade1-0410-450d-b8e3-8050e6da320f, DYN365_CDS_GUIDES
ca6e61ec-d4f4-41eb-8b88-d96e0e14323f, DYN365_CDS_O365_F1
29007dd3-36c0-4cc2-935d-f5bca2c2c473, DYN365_CDS_O365_F1_GCC
40b010bb-0b69-4654-ac5e-ba161433f4b4, DYN365_CDS_O365_P1
8eb5e9bc-783f-4425-921a-c65f45dd72c6, DYN365_CDS_O365_P1_GCC
4ff01e01-1ba7-4d71-8cf8-ce96c3bbcf14, DYN365_CDS_O365_P2
06162da2-ebf9-4954-99a0-00fee96f95cc, DYN365_CDS_O365_P2_GCC
28b0fa46-c39a-4188-89e2-58e979a6b014, DYN365_CDS_O365_P3
a7d3fb37-b6df-4085-b509-50810d991a39, DYN365_CDS_O365_P3_GCC
ce361df2-f2a5-4713-953f-4050ba09aad8, DYN365_CDS_P1_GOV
6ea4c1ef-c259-46df-bce2-943342cd3cb2, DYN365_CDS_P2
37396c73-2203-48e6-8be1-d882dae53275, DYN365_CDS_P2_GOV
50554c47-71d9-49fd-bc54-42a2765c555c, DYN365_CDS_PROJECT
83837d9c-c21a-46a0-873e-d834c94015d6, DYN365_CDS_PROJECT_GCC
93cc200d-a47f-4c56-aec1-83f8b0d0425a, DYN365_CDS_RETAIL
b6a8b974-2956-4e14-ae81-f0384c363528, DYN365_CDS_SUPPLYCHAINMANAGEMENT
17ab22cd-a0b3-4536-910a-cb6eb12696c0, DYN365_CDS_VIRAL
f69129db-6dc1-4107-855e-0aaebbcd9dd4, DYN365_CS_CHAT
426ec19c-d5b1-4548-b894-6fe75028c30d, DYN365_CS_CHAT_FPA
b9f7ce72-67ff-4695-a9d9-5ff620232024, DYN365_CS_CHAT_FPA_GOV
ffb878a5-3184-472b-800b-65eadc63d764, DYN365_CS_CHAT_GOV
94fb67d3-465f-4d1f-a50a-952da079a564, DYN365_CS_ENTERPRISE_VIRAL_TRIAL
43b076f2-1123-45ba-a339-2e170ee58c53, DYN365_CS_MESSAGING
e304c3c3-f86c-4200-b174-1ade48805b22, DYN365_CS_MESSAGING_GOV
47c2b191-a5fb-4129-b690-00c474d2f623, DYN365_CS_MESSAGING_TPS
9d37aa61-3cc3-457c-8b54-e6f3853aa6b6, DYN365_CS_MESSAGING_TPS_GOV
3bf52bdf-5226-4a97-829e-5cca9b3f3392, DYN365_CS_MESSAGING_VIRAL_TRIAL
f6ec6dfa-2402-468d-a455-89be11116d43, DYN365_CS_VOICE
411b0c93-8f89-455e-a663-c0a3effd12c3, DYN365_CS_VOICE_GOV
3de81e39-4ce1-47f7-a77f-8473d4eb6d7c, DYN365_CS_VOICE_VIRAL_TRIAL
ee85d528-c4b4-4a99-9b07-fb9a1365dc93, DYN365_CUSTOMER_INSIGHTS_BASE
b3c26516-3b8d-492f-a5a3-64d70ad3f8d0, DYN365_CUSTOMER_INSIGHTS_ENGAGEMENT_INSIGHTS_BASE
e2bdea63-235e-44c6-9f5e-5b0e783f07dd, DYN365_CUSTOMER_INSIGHTS_ENGAGEMENT_INSIGHTS_BASE_TRIAL
1720c3f7-7da3-4a11-8324-92aad283eb68, DYN365_CUSTOMER_INSIGHTS_JOURNEYS_BASE
ed8e8769-94c5-4132-a3e7-7543b713d51f, DYN365_CUSTOMER_INSIGHTS_VIRAL
6929f657-b31b-4947-b4ce-5066c3214f54, DYN365_CUSTOMER_SERVICE_PRO
2822a3a1-9b8f-4432-8989-e11669a60dc8, DYN365_ENTERPRISE_CASE_MANAGEMENT
79bb0a8d-e686-4e16-ac59-2b3fd0014a61, DYN365_ENTERPRISE_CASE_MANAGEMENT_GOV
99340b49-fb81-4b1e-976b-8f2ae8e9394f, DYN365_ENTERPRISE_CUSTOMER_SERVICE
dc6643d9-1e72-4dce-9f64-1d6eac1f1c5a, DYN365_ENTERPRISE_CUSTOMER_SERVICE_GOV
8c66ef8a-177f-4c0d-853c-d4f219331d09, DYN365_ENTERPRISE_FIELD_SERVICE
a9a5be2d-17dd-4d43-ba78-9391e11d20a7, DYN365_ENTERPRISE_FIELD_SERVICE_GOV
d56f3deb-50d8-465a-bedb-f079817ccac1, DYN365_ENTERPRISE_P1
056a5f80-b4e0-4983-a8be-7ad254a113c9, DYN365_ENTERPRISE_P1_IW
1d8c8e0e-4308-4db5-8a41-b129dbdaea20, DYN365_ENTERPRISE_PROJECT_SERVICE_AUTOMATION_GOV
2da8e897-7791-486b-b08f-cc63c8129df7, DYN365_ENTERPRISE_SALES
213be507-d547-4f79-bc2c-6196bc54c4a3, DYN365_ENTERPRISE_SALES_GOV
aac5a56b-b02e-4608-8014-b076646d4011, DYN365_Enterprise_Talent_Attract_Activity
643d201a-9884-45be-962a-06ba97062e5e, DYN365_Enterprise_Talent_Attract_TeamMember
db225597-e9c2-4d96-8ace-5424744c80f8, DYN365_Enterprise_Talent_Onboard_Activity
f2f49eef-4b3f-4853-809a-a055c6103fe0, DYN365_Enterprise_Talent_Onboard_TeamMember
6a54b05e-4fab-40e7-9828-428db3b336fa, DYN365_ENTERPRISE_TEAM_MEMBERS
5a94d0aa-ee95-455a-bb38-326e5f134478, DYN365_ENTERPRISE_TEAM_MEMBERS_GOV
170991d7-b98e-41c5-83d4-db2052e1795f, DYN365_FINANCIALS_ACCOUNTANT
920656a2-7dd8-4c83-97b6-a356414dbd36, DYN365_FINANCIALS_BUSINESS
d9a6391b-8970-4976-bd94-5f205007c8d8, DYN365_FINANCIALS_TEAM_MEMBERS
4c00c16c-0304-4421-b598-555c3e78edcb, DYN365_FP_ACC_PROTECTION
ecc62904-fa88-4552-a62c-fe582fb31444, DYN365_FP_LOSS_PREVENTION
d703990f-006e-459b-b8dd-1267c4533a22, DYN365_FP_PURCH_PROTECTION
20d1455b-72b2-4725-8354-a177845ab77d, DYN365_FS_ENTERPRISE_VIRAL_TRIAL
616cf6e2-f52f-4738-b463-10003061fcd3, DYN365_IOM
81375e2f-5ef7-4773-96aa-e3279f50bd21, DYN365_IOM_USER
e626a4ec-1ba2-409e-bf75-9bc0bc30cca7, DYN365_MARKETING_50K_CONTACT_ADDON
a3a4fa10-5092-401a-af30-0462a95a7ac8, DYN365_MARKETING_APP
ce112267-84df-4a78-9e8d-707ea8af89f3, DYN365_MARKETING_APP_MSE
51cf0638-4861-40c0-8b20-1161ab2f80be, DYN365_MARKETING_APPLICATION_ADDON
18db5075-2c70-408d-a82b-929059d782af, DYN365_MARKETING_CONTACT_ADDON
2824c69a-1ac5-4397-8592-eae51cb8b581, DYN365_MARKETING_MSE_USER
1599de10-5250-4c95-acf2-491f74edce48, DYN365_MARKETING_SANDBOX_APPLICATION_ADDON
5d7a6abc-eebd-46ab-96e1-e4a2f54a2248, DYN365_MARKETING_USER
c7657ae3-c0b0-4eed-8c1d-6a7967bd9c65, DYN365_REGULATORY_SERVICE
117e3aa0-8d08-4a19-a6a5-90b7a96e2128, DYN365_RETAIL
f06754ec-6d72-4bf6-991c-4cb5413d9932, DYN365_RETAIL_Activity
ceb28005-d758-4df7-bb97-87a617b93d6c, DYN365_RETAIL_DEVICE
874d6da5-2a67-45c1-8635-96e8b3e300ea, DYN365_RETAIL_TRIAL
7f636c80-0961-41b2-94da-9642ccf02de0, DYN365_SALES_ENTERPRISE_VIRAL_TRIAL
fedc185f-0711-4cc0-80ed-0a92da1a8384, DYN365_SALES_INSIGHTS
456747c0-cf1e-4b0d-940f-703a01b964cc, DYN365_SALES_INSIGHTS_VIRAL_TRIAL
88d83950-ff78-4e85-aa66-abfc787f8090, DYN365_SALES_PRO
dd89efa0-5a55-4892-ba30-82e3f8008339, DYN365_SALES_PRO_GOV 
65a1ebf4-6732-4f00-9dcb-3d115ffdeecd, DYN365_TALENT_ENTERPRISE
4092fdb5-8d81-41d3-be76-aaba4074530b, DYN365_TEAM_MEMBERS
39b5c996-467e-4e60-bd62-46066f572726, DYN365BC_MS_INVOICING
5ed38b64-c3b7-4d9f-b1cd-0de18c9c4331, Dynamics_365_for_HCM_Trial
95d2cd7b-1007-484b-8595-5e97e63fe189, Dynamics_365_for_Operations
6bddf93e-d6f4-4991-b9fc-30cfdf07ee7b, Dynamics_365_for_Operations_Activity
d8ba6fb2-c6b1-4f07-b7c8-5f2745e36b54, Dynamics_365_for_Operations_Sandbox_Tier2
f6b5efb1-1813-426f-96d0-9b4f7438714f, Dynamics_365_for_Operations_Sandbox_Tier4
f5aa7b45-8a36-4cd1-bc37-5d06dea98645, DYNAMICS_365_FOR_OPERATIONS_TEAM_MEMBERS
2c9fb43e-915a-4d61-b6ca-058ece89fd66, Dynamics_365_for_OperationsDevices
a9e39199-8369-444b-89c1-5fe65ec45665, Dynamics_365_for_Retail
c0454a3d-32b5-4740-b090-78c32f48f0ad, Dynamics_365_for_Retail_Team_members
1f87ee90-5c3a-4cf9-b6fd-e3e8017c26ec, Dynamics_365_for_Talent_Activity
d5156635-0704-4f66-8803-93258f8b2678, DYNAMICS_365_FOR_TALENT_TEAM_MEMBERS
f815ac79-c5dd-4bcc-9b78-d97f7b817d0d, DYNAMICS_365_HIRING_FREE_PLAN
300b8114-8555-4313-b861-0c115d820f50, Dynamics_365_Onboarding_Free_PLAN
048a552e-c849-4027-b54c-4c7ead26150a, Dynamics_365_Talent_Onboard
33f1466e-63a6-464c-bf6a-d1787928a56a, DYNB365_CSI_VIRAL_TRIAL
a9b86446-fa4e-498f-a92a-41b447e03337, EducationAnalyticsP1
e866a266-3cff-43a3-acca-0c90a7e00c8b, Entra_Identity_Governance
8d23cb83-ab07-418f-8517-d7aca77307dc, Entra_Premium_Internet_Access
f057aab1-b184-49b2-85c0-881b02a405c5, Entra_Premium_Private_Access
326e2b78-9d27-42c9-8509-46c827743a17, EOP_ENTERPRISE
